"","SSB_MSY_om","TotYield_MSY_om","SSB_Unfished_om","depletion_om","params_on_bound_om","NatM_p_1_Fem_GP_1_om","L_at_Amin_Fem_GP_1_om","L_at_Amax_Fem_GP_1_om","VonBert_K_Fem_GP_1_om","CV_young_Fem_GP_1_om","CV_old_Fem_GP_1_om","Wtlen_1_Fem_om","Wtlen_2_Fem_om","Mat50._Fem_om","Mat_slope_Fem_om","Eggs.kg_inter_Fem_om","Eggs.kg_slope_wt_Fem_om","RecrDist_GP_1_om","RecrDist_Area_1_om","RecrDist_Seas_1_om","CohortGrowDev_om","SR_LN_R0_om","SR_BH_steep_om","SR_sigmaR_om","SR_envlink_om","SR_R1_offset_om","SR_autocorr_om","InitF_1Fishery_om","LnQ_base_1_Fishery_om","LnQ_base_2_Survey_om","LnQ_base_3_CPUE_om","AgeSel_1P_1_Fishery_om","AgeSel_1P_2_Fishery_om","AgeSel_1P_3_Fishery_om","AgeSel_1P_4_Fishery_om","AgeSel_1P_5_Fishery_om","AgeSel_1P_6_Fishery_om","AgeSel_2P_1_Survey_om","AgeSel_2P_2_Survey_om","AgeSel_2P_3_Survey_om","AgeSel_2P_4_Survey_om","AgeSel_2P_5_Survey_om","AgeSel_2P_6_Survey_om","Catch_endyear_om","NLL_TOTAL_om","NLL_Catch_om","NLL_Equil_catch_om","NLL_Survey_om","NLL_Discard_om","NLL_Mean_body_wt_om","NLL_Length_comp_om","NLL_Age_comp_om","NLL_Size_at_age_om","NLL_SizeFreq_om","NLL_Morphcomp_om","NLL_Tag_comp_om","NLL_Tag_negbin_om","NLL_Recruitment_om","NLL_Forecast_Recruitment_om","NLL_Parm_priors_om","NLL_Parm_softbounds_om","NLL_Parm_devs_om","NLL_Crash_Pen_om","SSB_MSY_em","TotYield_MSY_em","SSB_Unfished_em","depletion_em","params_on_bound_em","NatM_p_1_Fem_GP_1_em","L_at_Amin_Fem_GP_1_em","L_at_Amax_Fem_GP_1_em","VonBert_K_Fem_GP_1_em","CV_young_Fem_GP_1_em","CV_old_Fem_GP_1_em","Wtlen_1_Fem_em","Wtlen_2_Fem_em","Mat50._Fem_em","Mat_slope_Fem_em","Eggs.kg_inter_Fem_em","Eggs.kg_slope_wt_Fem_em","RecrDist_GP_1_em","RecrDist_Area_1_em","RecrDist_Seas_1_em","CohortGrowDev_em","SR_LN_R0_em","SR_BH_steep_em","SR_sigmaR_em","SR_envlink_em","SR_R1_offset_em","SR_autocorr_em","InitF_1Fishery_em","LnQ_base_1_Fishery_em","LnQ_base_2_Survey_em","LnQ_base_3_CPUE_em","AgeSel_1P_1_Fishery_em","AgeSel_1P_2_Fishery_em","AgeSel_1P_3_Fishery_em","AgeSel_1P_4_Fishery_em","AgeSel_1P_5_Fishery_em","AgeSel_1P_6_Fishery_em","AgeSel_2P_1_Survey_em","AgeSel_2P_2_Survey_em","AgeSel_2P_3_Survey_em","AgeSel_2P_4_Survey_em","AgeSel_2P_5_Survey_em","AgeSel_2P_6_Survey_em","Catch_endyear_em","NLL_TOTAL_em","NLL_Catch_em","NLL_Equil_catch_em","NLL_Survey_em","NLL_Discard_em","NLL_Mean_body_wt_em","NLL_Length_comp_em","NLL_Age_comp_em","NLL_Size_at_age_em","NLL_SizeFreq_em","NLL_Morphcomp_em","NLL_Tag_comp_em","NLL_Tag_negbin_em","NLL_Recruitment_em","NLL_Forecast_Recruitment_em","NLL_Parm_priors_em","NLL_Parm_softbounds_em","NLL_Parm_devs_em","NLL_Crash_Pen_em","bias1","bias2","bias3","bias4","bias5","bias.converged","bias.tried","scenario","replicate","F","D","E","R","X","species","max_grad","version","RunTime","hessian","ID"
"1",1.408e+09,170594000,4082630000,0.454168024043325,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,1.886,-4.89923,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,2.7,-1,0,15,-999,-999,2.4,-1,0,15,-999,-999,128595000,11805.8,9.16238e-07,0,-252.573,NA,NA,0.0782981,212.242,11784.7,NA,NA,NA,NA,61.1375,0,0,0,0,0,1427760000,157003000,4015640000,0.58282614975446,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,1.886,-4.89923,1,0,0,0,0,1,18.6234,0.65,0.4,0,0,0,0,0,-0.0383408,0,2.72886,-1,0.0228924,15,-999,-999,2.40456,-1,0.00543342,15,-999,-999,128595000,2186.12,6.38869e-18,0,-79.3353,NA,NA,NA,2282.47,NA,NA,NA,NA,NA,-17.0954,0,0.0726847,0.00145369,0,0,NA,NA,NA,NA,NA,NA,NA,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",0.0125663,"#V3.24O",NA,FALSE,"F0-D0-E0-R0-X0-cow-1"
"2",1.408e+09,170594000,4082630000,0.534246306914905,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,1.886,-4.89923,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,2.7,-1,0,15,-999,-999,2.4,-1,0,15,-999,-999,148811000,11800.2,1.0984e-06,0,-252.573,NA,NA,0.0783099,214.297,11784.4,NA,NA,NA,NA,53.7653,0,0,0,0,0,1.55e+09,170309000,4376840000,0.572730554463951,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,1.886,-4.89923,1,0,0,0,0,1,18.7104,0.65,0.4,0,0,0,0,0,-0.0366721,0,2.70636,-1,0.00396022,15,-999,-999,2.39927,-1,0.00309461,15,-999,-999,148811000,2203.15,6.44774e-18,0,-83.0784,NA,NA,NA,2306.57,NA,NA,NA,NA,NA,-20.4149,0,0.0732531,0.00146506,0,0,NA,NA,NA,NA,NA,NA,NA,"F0-D0-E0-R0-X0-cow",2,"F0","D0","E0","R0","X0","cow",0.189533,"#V3.24O",NA,FALSE,"F0-D0-E0-R0-X0-cow-2"
"3",1.408e+09,170594000,4082630000,0.449286366876254,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,1.886,-4.89923,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,2.7,-1,0,15,-999,-999,2.4,-1,0,15,-999,-999,126631000,11800.8,1.17762e-06,0,-252.573,NA,NA,0.0782743,212.038,11785.2,NA,NA,NA,NA,55.8427,0,0,0,0,0,1539430000,169140000,4339370000,0.492262701728592,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,1.886,-4.89923,1,0,0,0,0,1,18.7028,0.65,0.4,0,0,0,0,0,-0.026218,0,2.71108,-1,0.0296766,15,-999,-999,2.39244,-1,-0.00735361,15,-999,-999,126631000,2163.14,5.34528e-18,0,-84.1448,NA,NA,NA,2266.86,NA,NA,NA,NA,NA,-19.6436,0,0.0731691,0.00146338,0,0,NA,NA,NA,NA,NA,NA,NA,"F0-D0-E0-R0-X0-cow",3,"F0","D0","E0","R0","X0","cow",0.000287362,"#V3.24O",NA,FALSE,"F0-D0-E0-R0-X0-cow-3"
"4",1.408e+09,170594000,4082630000,0.459456281857528,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,1.886,-4.89923,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,2.7,-1,0,15,-999,-999,2.4,-1,0,15,-999,-999,131157000,11795.4,1.10128e-06,0,-252.573,NA,NA,0.0782843,211.146,11784.4,NA,NA,NA,NA,52.1152,0,0,0,0,0,1607330000,177051000,4537390000,0.566836881996037,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,1.886,-4.89923,1,0,0,0,0,1,18.7451,0.65,0.4,0,0,0,0,0,-0.0925791,0,2.70459,-1,-0.0185822,15,-999,-999,2.38287,-1,-0.0353949,15,-999,-999,131157000,2246.37,4.39079e-18,0,-84.3732,NA,NA,NA,2353.24,NA,NA,NA,NA,NA,-22.5754,0,0.0740465,0.00148093,0,0,NA,NA,NA,NA,NA,NA,NA,"F0-D0-E0-R0-X0-cow",4,"F0","D0","E0","R0","X0","cow",0.433821,"#V3.24O",NA,FALSE,"F0-D0-E0-R0-X0-cow-4"
"5",1.408e+09,170594000,4082630000,0.58710194164056,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,1.886,-4.89923,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,2.7,-1,0,15,-999,-999,2.4,-1,0,15,-999,-999,165782000,11798.6,1.38178e-06,0,-252.573,NA,NA,0.078323,213.659,11785,NA,NA,NA,NA,52.2571,0,0,0,0,0,1522740000,167204000,4285320000,0.645793079629993,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,1.886,-4.89923,1,0,0,0,0,1,18.6906,0.65,0.4,0,0,0,0,0,-0.00612716,0,2.6867,-1,-0.0349531,15,-999,-999,2.42937,-1,0.0426144,15,-999,-999,165782000,2251.28,1.04995e-17,0,-97.0758,NA,NA,NA,2368.57,NA,NA,NA,NA,NA,-20.2852,0,0.0730605,0.00146121,0,0,NA,NA,NA,NA,NA,NA,NA,"F0-D0-E0-R0-X0-cow",5,"F0","D0","E0","R0","X0","cow",0.032541,"#V3.24O",NA,FALSE,"F0-D0-E0-R0-X0-cow-5"
"6",1.408e+09,170594000,4082630000,0.511038227809035,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,1.886,-4.89923,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,2.7,-1,0,15,-999,-999,2.4,-1,0,15,-999,-999,144295000,11787,1.03629e-06,0,-252.573,NA,NA,0.0783003,211.614,11784.6,NA,NA,NA,NA,42.958,0,0,0,0,0,1582040000,173214000,4452570000,0.493357768659448,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,1.886,-4.89923,1,0,0,0,0,1,18.728,0.65,0.4,0,0,0,0,0,-0.0248865,0,2.68872,-1,-0.0101171,15,-999,-999,2.39624,-1,0.0118895,15,-999,-999,144295000,2107.39,8.26978e-18,0,-86.7321,NA,NA,NA,2223.13,NA,NA,NA,NA,NA,-29.0879,0,0.0735902,0.0014718,0,0,NA,NA,NA,NA,NA,NA,NA,"F0-D0-E0-R0-X0-cow",6,"F0","D0","E0","R0","X0","cow",0.0888296,"#V3.24O",NA,FALSE,"F0-D0-E0-R0-X0-cow-6"
"7",1.408e+09,170594000,4082630000,0.643161393513495,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,1.886,-4.89923,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,2.7,-1,0,15,-999,-999,2.4,-1,0,15,-999,-999,180168000,11807.8,1.07274e-06,0,-252.573,NA,NA,0.0783448,217.062,11784.8,NA,NA,NA,NA,58.162,0,0,0,0,0,1459270000,160086000,4114230000,0.639896165260571,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,1.886,-4.89923,1,0,0,0,0,1,18.6472,0.65,0.4,0,0,0,0,0,0.0438896,0,2.71149,-1,0.0281219,15,-999,-999,2.3715,-1,-0.0349805,15,-999,-999,180168000,2145.91,1.4707e-17,0,-83.2792,NA,NA,NA,2245.83,NA,NA,NA,NA,NA,-16.7076,0,0.0737394,0.00147479,0,0,NA,NA,NA,NA,NA,NA,NA,"F0-D0-E0-R0-X0-cow",7,"F0","D0","E0","R0","X0","cow",0.00216903,"#V3.24O",NA,FALSE,"F0-D0-E0-R0-X0-cow-7"
"8",1.408e+09,170594000,4082630000,0.58423124309575,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,1.886,-4.89923,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,2.7,-1,0,15,-999,-999,2.4,-1,0,15,-999,-999,164501000,11793.7,9.17417e-07,0,-252.573,NA,NA,0.0783288,214.759,11784.6,NA,NA,NA,NA,46.5654,0,0,0,0,0,1560010000,171244000,4424510000,0.586643492725748,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,1.886,-4.89923,1,0,0,0,0,1,18.7174,0.65,0.4,0,0,0,0,0,-0.004105,0,2.68219,-1,-0.0136204,15,-999,-999,2.37831,-1,-0.0330135,15,-999,-999,164501000,2123.79,6.31049e-18,0,-90.6809,NA,NA,NA,2241.25,NA,NA,NA,NA,NA,-26.8531,0,0.0743691,0.00148738,0,0,NA,NA,NA,NA,NA,NA,NA,"F0-D0-E0-R0-X0-cow",8,"F0","D0","E0","R0","X0","cow",0.0167959,"#V3.24O",NA,FALSE,"F0-D0-E0-R0-X0-cow-8"
"9",1.408e+09,170594000,4082630000,0.514731925254064,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,1.886,-4.89923,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,2.7,-1,0,15,-999,-999,2.4,-1,0,15,-999,-999,146300000,11794.7,1.01558e-06,0,-252.573,NA,NA,0.0783089,212.697,11784.9,NA,NA,NA,NA,49.3887,0,0,0,0,0,1548630000,170056000,4371380000,0.587004561488592,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,1.886,-4.89923,1,0,0,0,0,1,18.7081,0.65,0.4,0,0,0,0,0,-0.0185502,0,2.70771,-1,0.0061712,15,-999,-999,2.41464,-1,0.0259197,15,-999,-999,146300000,2130.44,7.12097e-18,0,-76.582,NA,NA,NA,2230.99,NA,NA,NA,NA,NA,-24.0449,0,0.0727879,0.00145576,0,0,NA,NA,NA,NA,NA,NA,NA,"F0-D0-E0-R0-X0-cow",9,"F0","D0","E0","R0","X0","cow",0.0137873,"#V3.24O",NA,FALSE,"F0-D0-E0-R0-X0-cow-9"
"10",1.408e+09,170594000,4082630000,0.534481449457825,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,1.886,-4.89923,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,2.7,-1,0,15,-999,-999,2.4,-1,0,15,-999,-999,153779000,11797.6,1.42958e-06,0,-252.573,NA,NA,0.0783095,211.587,11784,NA,NA,NA,NA,54.2586,0,0,0,0,0,1465170000,160997000,4127350000,0.735084255030467,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,1.886,-4.89923,1,0,0,0,0,1,18.6534,0.65,0.4,0,0,0,0,0,-0.0535303,0,2.70319,-1,0.0151055,15,-999,-999,2.41582,-1,0.015969,15,-999,-999,153779000,2233.62,4.93636e-18,0,-89.6026,NA,NA,NA,2345.46,NA,NA,NA,NA,NA,-22.3073,0,0.0728402,0.0014568,0,0,NA,NA,NA,NA,NA,NA,NA,"F0-D0-E0-R0-X0-cow",10,"F0","D0","E0","R0","X0","cow",0.132121,"#V3.24O",NA,FALSE,"F0-D0-E0-R0-X0-cow-10"
